epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
85	0.6921	1.6064	|	0.7089	0.7252	0.7252	0.7252	|	0.2979	0.3662	0.3662	0.3662	|  Best result at epoch 55
86	0.6968	1.5880	|	0.5949	0.6096	0.6096	0.6096	|	0.3040	0.3674	0.3674	0.3674	|  Best result at epoch 55
87	0.7091	1.5831	|	0.5871	0.6002	0.6002	0.6002	|	0.2591	0.3390	0.3390	0.3390	|  Best result at epoch 55
88	0.7013	1.6792	|	0.5949	0.6096	0.6096	0.6096	|	0.3015	0.3666	0.3666	0.3666	|  Best result at epoch 55
89	0.6993	1.6614	|	0.5180	0.5056	0.5056	0.5056	|	0.2886	0.3324	0.3324	0.3324	|  Best result at epoch 55
90	0.7021	1.5432	|	0.5949	0.6096	0.6096	0.6096	|	0.3032	0.3666	0.3666	0.3666	|  Best result at epoch 55
91	0.6889	1.5821	|	0.6706	0.6996	0.6996	0.6996	|	0.2519	0.3266	0.3266	0.3266	|  Best result at epoch 55
92	0.6946	1.5703	|	0.7092	0.7256	0.7256	0.7256	|	0.3011	0.3674	0.3674	0.3674	|  Best result at epoch 55
93	0.6939	1.5725	|	0.6702	0.7000	0.7000	0.7000	|	0.2985	0.3674	0.3674	0.3674	|  Best result at epoch 55
94	0.7037	1.8783	|	0.5778	0.6288	0.6288	0.6288	|	0.1826	0.2546	0.2546	0.2546	|  Best result at epoch 55
95	0.7110	1.6814	|	0.5949	0.6096	0.6096	0.6096	|	0.3015	0.3666	0.3666	0.3666	|  Best result at epoch 55
96	0.6886	1.7210	|	0.5949	0.6096	0.6096	0.6096	|	0.3032	0.3666	0.3666	0.3666	|  Best result at epoch 55
97	0.6885	1.5072	|	0.5726	0.5836	0.5836	0.5836	|	0.2988	0.3670	0.3670	0.3670	|  Best result at epoch 55
98	0.7004	1.7327	|	0.5949	0.6096	0.6096	0.6096	|	0.3011	0.3674	0.3674	0.3674	|  Best result at epoch 55
99	0.6962	1.5522	|	0.5949	0.6096	0.6096	0.6096	|	0.2987	0.3666	0.3666	0.3666	|  Best result at epoch 55
100	0.6956	1.6327	|	0.5779	0.6292	0.6292	0.6292	|	0.2222	0.2954	0.2954	0.2954	|  Best result at epoch 55
101	0.6883	1.4404	|	0.6710	0.7000	0.7000	0.7000	|	0.3011	0.3674	0.3674	0.3674	|  Best result at epoch 55
102	0.6998	1.5018	|	0.5984	0.6114	0.6114	0.6114	|	0.3277	0.3928	0.3928	0.3928	|  Best result at epoch 55
103	0.6915	1.7957	|	0.5780	0.6292	0.6292	0.6292	|	0.2221	0.2954	0.2954	0.2954	|  Best result at epoch 55
104	0.6987	1.7836	|	0.5633	0.5608	0.5608	0.5608	|	0.2874	0.3698	0.3698	0.3698	|  Best result at epoch 55
105	0.6907	1.5700	|	0.7505	0.7452	0.7452	0.7452	|	0.2246	0.2954	0.2954	0.2954	|  Best result at epoch 105
106	0.7543	1.6139	|	0.5972	0.6114	0.6114	0.6114	|	0.3277	0.3928	0.3928	0.3928	|  Best result at epoch 105
107	0.6945	1.6379	|	0.7092	0.7256	0.7256	0.7256	|	0.3015	0.3666	0.3666	0.3666	|  Best result at epoch 105
108	0.6943	1.7042	|	0.5946	0.6092	0.6092	0.6092	|	0.2934	0.3662	0.3662	0.3662	|  Best result at epoch 105
109	0.6940	1.6638	|	0.7089	0.7252	0.7252	0.7252	|	0.2991	0.3662	0.3662	0.3662	|  Best result at epoch 105
110	0.7311	1.8146	|	0.5512	0.5830	0.5830	0.5830	|	0.3220	0.3924	0.3924	0.3924	|  Best result at epoch 105
111	0.6964	1.7045	|	0.7092	0.7256	0.7256	0.7256	|	0.3032	0.3666	0.3666	0.3666	|  Best result at epoch 105
112	0.6945	1.7272	|	0.7089	0.7252	0.7252	0.7252	|	0.2982	0.3662	0.3662	0.3662	|  Best result at epoch 105
